序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄段：,3、当前所处教育阶段:,4、日均数字媒体接触时长,5、主要使用场景,6、当我浏览社交媒体时，我常常将自己生活状态与他人进行比较,7、我认为自己在网络空间中的形象:,8、你是否会在遇到情绪低落时使用数字媒体（如刷视频、聊天、玩游戏等）？,9、数字媒体使用对你情绪状态的影响—使用后感到焦虑减轻,9、浏览内容后感到烦躁,9、线上互动中产生归属感,9、产生时间管理失控感,9、深夜使用时感到孤独感加剧,10、请分享一个你使用手机/网络时发生的，让你对自己有新的认识的真实经历
160,2025/5/12 9:31:47,77秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→网络游戏→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,很少,和现实中的我完全相同,经常,不太符合,一般,比较符合,比较符合,不太符合,(空)
161,2025/5/12 9:34:20,148秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,241-360分钟（4-6小时）,短视频平台（抖音/快手等）→网络游戏→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,有时,稍微修饰过的真实自己,有时,不太符合,比较符合,一般,比较符合,比较符合,(空)
162,2025/5/12 9:35:20,56秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,121-240分钟（3-4小时）,知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏,有时,只展示某些方面的自己,有时,比较符合,不太符合,比较符合,比较符合,比较符合,(空)
163,2025/5/12 9:38:07,162秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏,有时,稍微修饰过的真实自己,经常,比较符合,不太符合,比较符合,比较符合,不太符合,(空)
164,2025/5/12 9:39:11,60秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）→网络游戏,有时,只展示某些方面的自己,经常,不太符合,比较符合,一般,比较符合,一般,(空)
165,2025/5/12 9:40:04,48秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,≥361分钟（6小时以上）,社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）→网络游戏,经常,稍微修饰过的真实自己,总是,不太符合,比较符合,比较符合,比较符合,比较符合,(空)
166,2025/5/12 9:40:49,40秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→网络游戏,有时,稍微修饰过的真实自己,总是,比较符合,不太符合,比较符合,比较符合,比较符合,(空)
167,2025/5/12 9:42:10,74秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→网络游戏,有时,稍微修饰过的真实自己,经常,比较符合,不太符合,比较符合,比较符合,比较符合,(空)
168,2025/5/12 9:43:05,51秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→网络游戏,有时,稍微修饰过的真实自己,总是,不太符合,比较符合,不太符合,比较符合,比较符合,(空)
169,2025/5/12 9:44:10,60秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→知识获取（作业帮/猿辅导等）→网络游戏,有时,稍微修饰过的真实自己,经常,不太符合,比较符合,一般,比较符合,一般,(空)
170,2025/5/12 9:46:13,118秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏,有时,只展示某些方面的自己,有时,比较符合,不太符合,比较符合,一般,一般,(空)
171,2025/5/12 9:47:04,45秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏→知识获取（作业帮/猿辅导等）,经常,和现实中的我完全相同,总是,比较符合,不太符合,比较符合,比较符合,一般,(空)
172,2025/5/12 9:47:53,45秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,经常,稍微修饰过的真实自己,总是,比较符合,不太符合,比较符合,比较符合,比较符合,(空)
173,2025/5/12 9:48:59,57秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→网络游戏,有时,不同平台会用不同形象,经常,不太符合,比较符合,比较符合,比较符合,比较符合,(空)
174,2025/5/12 9:49:50,47秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,61-120分钟（1-2小时）,网络游戏→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→知识获取（作业帮/猿辅导等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,不太符合,(空)
175,2025/5/12 9:52:05,34秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）→网络游戏,有时,只展示某些方面的自己,有时,不太符合,比较符合,不太符合,一般,不太符合,(空)
176,2025/5/12 10:17:30,42秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,121-240分钟（3-4小时）,影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏,有时,稍微修饰过的真实自己,有时,比较符合,不太符合,比较符合,一般,比较符合,(空)
177,2025/5/12 10:18:03,29秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,241-360分钟（4-6小时）,网络游戏→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,有时,不同平台会用不同形象,经常,比较符合,不太符合,比较符合,一般,比较符合,(空)
178,2025/5/12 10:18:49,32秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→网络游戏→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,经常,比较符合,不太符合,比较符合,一般,比较符合,(空)
179,2025/5/12 10:19:43,50秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→网络游戏→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,经常,只展示某些方面的自己,经常,比较符合,不太符合,一般,比较符合,比较符合,(空)
180,2025/5/12 10:29:48,27秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）,有时,只展示某些方面的自己,经常,比较符合,不太符合,比较符合,比较符合,一般,(空)
181,2025/5/12 11:56:33,56秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,很少,只展示某些方面的自己,有时,比较符合,不太符合,比较符合,一般,一般,(空)
182,2025/5/12 14:01:45,59秒,微信,,223.104.54.196(福建-福州),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,一般,(空)
183,2025/5/12 14:03:59,35秒,微信,,223.104.54.196(福建-福州),女,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→网络游戏→知识获取（作业帮/猿辅导等）,有时,稍微修饰过的真实自己,经常,比较符合,不太符合,比较符合,一般,比较符合,(空)
184,2025/5/12 14:52:24,59秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,≥361分钟（6小时以上）,影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→网络游戏,很少,只展示某些方面的自己,经常,一般,一般,一般,比较符合,一般,(空)
185,2025/5/12 14:53:29,61秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,知识获取（作业帮/猿辅导等）→网络游戏→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,很少,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,一般,(空)
186,2025/5/12 14:56:17,578秒,微信,,69.176.153.201(国外-美国),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→网络游戏,经常,稍微修饰过的真实自己,总是,比较符合,一般,一般,一般,不太符合,就是有些时候在red notes上发表一下自己的看法或者言论你会发现自己和别人的很多不一样看法
187,2025/5/12 15:09:55,51秒,微信,,124.64.17.189(北京-北京),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,经常,稍微修饰过的真实自己,经常,比较符合,一般,比较符合,比较符合,一般,(空)
188,2025/5/12 16:23:05,67秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏→知识获取（作业帮/猿辅导等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,经常,稍微修饰过的真实自己,经常,比较符合,不太符合,比较符合,比较符合,不太符合,(空)
189,2025/5/12 16:24:41,90秒,微信,,223.104.54.196(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→网络游戏,很少,完全不同于现实中的我,有时,比较符合,不太符合,一般,一般,一般,(空)
190,2025/5/12 17:12:29,51秒,微信,,112.49.140.171(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏→影视娱乐（B站/腾讯视频等）,很少,和现实中的我完全相同,经常,不太符合,一般,比较符合,比较符合,比较符合,(空)
191,2025/5/12 19:10:54,51秒,微信,,183.250.96.244(福建-福州),男,16~18,高中阶段,≥361分钟（6小时以上）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,经常,只展示某些方面的自己,经常,不太符合,比较符合,比较符合,比较符合,比较符合,(空)
192,2025/5/12 19:26:31,151秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）,有时,只展示某些方面的自己,有时,一般,不太符合,一般,不太符合,不太符合,(空)
193,2025/5/12 19:34:18,55秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）→网络游戏,有时,只展示某些方面的自己,经常,比较符合,不太符合,比较符合,比较符合,一般,(空)
194,2025/5/12 19:35:22,57秒,微信,,183.250.96.244(福建-福州),男,16~18,高中阶段,121-240分钟（3-4小时）,知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,一般,(空)
195,2025/5/12 22:42:39,36秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→网络游戏→知识获取（作业帮/猿辅导等）,很少,只展示某些方面的自己,经常,比较符合,不太符合,比较符合,一般,一般,(空)
196,2025/5/12 23:01:03,1099秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→网络游戏,经常,完全不同于现实中的我,经常,比较符合,一般,一般,一般,一般,(空)
197,2025/5/12 23:03:57,164秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→网络游戏→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,经常,一般,不太符合,一般,比较符合,比较符合,(空)
198,2025/5/12 23:05:01,59秒,微信,,183.250.96.244(福建-福州),男,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,很少,只展示某些方面的自己,很少,比较符合,不太符合,比较符合,一般,一般,(空)
199,2025/5/12 23:54:18,39秒,微信,,183.250.96.244(福建-福州),男,16~18,高中阶段,61-120分钟（1-2小时）,知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,很少,比较符合,不太符合,不太符合,不太符合,不太符合,(空)
200,2025/5/12 23:55:11,49秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,很少,比较符合,不太符合,不太符合,不太符合,不太符合,(空)
201,2025/5/12 23:56:14,59秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→短视频平台（抖音/快手等）→网络游戏,很少,只展示某些方面的自己,有时,一般,不太符合,比较符合,一般,一般,(空)
202,2025/5/12 23:57:22,62秒,微信,,183.250.96.244(福建-福州),男,16~18,高中阶段,≥361分钟（6小时以上）,网络游戏→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,有时,和现实中的我完全相同,经常,一般,一般,比较符合,一般,一般,(空)
203,2025/5/12 23:58:48,46秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,很少,比较符合,不太符合,一般,一般,一般,(空)
204,2025/5/12 23:59:50,55秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,61-120分钟（1-2小时）,知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→网络游戏,有时,只展示某些方面的自己,有时,一般,不太符合,一般,一般,不太符合,(空)
205,2025/5/13 0:00:41,48秒,微信,,183.250.96.244(福建-福州),女,16~18,高中阶段,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→网络游戏,有时,只展示某些方面的自己,经常,一般,一般,比较符合,比较符合,比较符合,(空)
206,2025/5/13 5:53:20,150秒,微信,,71.230.69.130(国外-美国),男,22岁及以上,已工作,241-360分钟（4-6小时）,短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）,从不,只展示某些方面的自己,总是,比较符合,不太符合,一般,不太符合,完全不符,有些内向的人在网上不一定也内向
207,2025/5/13 6:18:04,447秒,微信,,71.230.69.130(国外-美国),女,22岁及以上,已工作,121-240分钟（3-4小时）,知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,经常,比较符合,不太符合,一般,不太符合,不太符合,学习到一些在以往学校没接触过的，但对现在工作非常有帮助的知识
208,2025/5/13 7:53:23,105秒,微信,,68.179.137.106(国外-美国),男,19~21,高等教育阶段（大学-博士后）,≥361分钟（6小时以上）,影视娱乐（B站/腾讯视频等）→网络游戏→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）,很少,只展示某些方面的自己,有时,比较符合,一般,一般,比较符合,不太符合,(空)
209,2025/5/15 14:49:46,218秒,微信,,138.75.196.69(国外-新加坡),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→网络游戏,有时,只展示某些方面的自己,经常,比较符合,一般,不太符合,一般,一般,在社交媒体遇到了新的朋友，接触到了新的领域。
210,2025/5/15 15:09:06,1582秒,微信,,122.11.214.157(国外-新加坡),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）,很少,完全不同于现实中的我,经常,一般,完全不符,比较符合,不太符合,不太符合,(空)
211,2025/5/15 15:39:02,106秒,微信,,183.241.150.6(北京-北京),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,一般,张智博不回我抖音私信
212,2025/5/15 15:42:51,91秒,微信,,39.144.44.60(上海-上海),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,很少,和现实中的我完全相同,有时,一般,一般,不太符合,比较符合,比较符合,(空)
213,2025/5/15 15:46:10,49秒,微信,,221.224.30.189(江苏-苏州),女,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏,有时,不同平台会用不同形象,经常,非常符合,比较符合,一般,比较符合,不太符合,玩原神玩的
214,2025/5/15 15:47:27,111秒,微信,,117.136.51.67(陕西-西安),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,有时,稍微修饰过的真实自己,有时,一般,一般,一般,比较符合,比较符合,让自己反省之前的错误习惯
215,2025/5/15 17:13:44,58秒,微信,,175.8.208.196(湖南-长沙),女,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→网络游戏→短视频平台（抖音/快手等）,经常,完全不同于现实中的我,经常,比较符合,一般,一般,比较符合,不太符合,(空)
216,2025/5/15 19:18:50,96秒,微信,,115.60.23.85(河南-郑州),男,22岁及以上,高等教育阶段（大学-博士后）,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,很少,只展示某些方面的自己,经常,一般,比较符合,不太符合,非常符合,不太符合,互骂
